invoice_id,item_description,category
15172184,"Super Nintendo SNES System 2,00",other
15172184,"VTech Game Console Bundle- 2,00",other
23897213,"Introduction to Thematic 5,00",other
23897213,"Rage By Bob Woodward - 2,00",other
23897213,"HIROSHIGE One Hundred 3,00",other
60518602,"Sony PlayStation 1 PS1 Console 1,00",other
60518602,"Sony SCPH-30001R PlayStation 4,00",other
35259356,"Lilly Pulitzer 8 Sunkissed with 1,00 each 56,89 56,89 10% 62,58",other
35259356,"Jams World Hawaiian J] Dress 5,00 each 65,00 325,00 10% 357,50",other
35259356,"Forever 21 Blue A-Line Dress 1,00 each 14,99 14,99 10% 16,49",other
35259356,"MARC JACOBS IVORY COTTON 3,00 each 15,99 47,97 10% 52,77",other
74263194,"FABULOUS Nike Boy's Kyrie 3 2,00 each",other
74263194,"Oomphies Boys Ankle Boots 5,00 each",other
59051048,"StellaLuxe One Shoulder Lace 3,00",other
59051048,"Old Navy Womens Sleeveless. 3,00",other
13310164,"30""x30"" Marble Black Top Table 5,00 each 2 399,00 11 995,00 10% 13 194,50",other
76272465,DESIGNER MICHAEL KORS,other
76272465,Burent Orange Long Dress With,other
38680884,"All Mattel Disney Pixar Model 4,00 each 12,99 51,96 10% 57,16",other
23908850,"kid shoes soccer 1,00",other
23908850,"Jordan Hydro 2 (TD)-Child Size 3,00",other
20295549,"Dell Optiplex SFF Desktop 4,00",other
20295549,"Lenovo C20-00...all in one 5,00",other
20295549,"Fast Dell Optiplex Windows 10 1,00",other
20295549,"Fast i7 RGB Gaming Desktop PC 5,00",other
45141161,"18"" Black Marble Coffee Table 4,00",other
45141161,"12"" White Marble Coffee Table 2,00",other
42910151,"54 Inches Marble Dinning Table 4,00",other
42910151,"16"" Marble Coffee Table Top 2,00",other
42910151,"18""x18"" Marble White Top 2,00",other
